,driver_id,carno,initials,name,race_id,team,teamcolor,enginemanufacturer,gridposition,status,resultposition,completedlaps,speedtrap,date,season,location,availablecompounds,comment,nolaps,nolapsplanned,tracklength,"accidents per driver, per season","failures per driver, per season"
0,1,44,HAM,Lewis Hamilton,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",,57,58,5303,0.0,3.0
1,1,44,HAM,Lewis Hamilton,2,Mercedes,#00D2BE,Mercedes,1,F,1,56,305.9,2014-03-30,2014,KualaLumpur,"A1,A2,I,W",,56,56,5543,0.0,3.0
2,1,44,HAM,Lewis Hamilton,3,Mercedes,#00D2BE,Mercedes,2,F,1,57,313.4,2014-04-06,2014,Sakhir,"A2,A3,I,W","Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,57,5412,0.0,3.0
3,1,44,HAM,Lewis Hamilton,4,Mercedes,#00D2BE,Mercedes,1,F,1,54,332.3,2014-04-20,2014,Shanghai,"A2,A3,I,W",,54,56,5451,0.0,3.0
4,1,44,HAM,Lewis Hamilton,5,Mercedes,#00D2BE,Mercedes,1,F,1,66,331.5,2014-05-11,2014,Catalunya,"A1,A2,I,W",,66,66,4655,0.0,3.0
5,1,44,HAM,Lewis Hamilton,6,Mercedes,#00D2BE,Mercedes,2,F,2,78,290.0,2014-05-25,2014,MonteCarlo,"A3,A4,I,W",,78,78,3337,0.0,3.0
6,1,44,HAM,Lewis Hamilton,7,Mercedes,#00D2BE,Mercedes,2,DNF,17,46,331.6,2014-06-08,2014,Montreal,"A3,A4,I,W",Race finished behind SC,70,70,4361,0.0,3.0
7,1,44,HAM,Lewis Hamilton,8,Mercedes,#00D2BE,Mercedes,9,F,2,71,318.3,2014-06-22,2014,Spielberg,"A3,A4,I,W",,71,71,4318,0.0,3.0
8,1,44,HAM,Lewis Hamilton,9,Mercedes,#00D2BE,Mercedes,6,F,1,52,311.4,2014-07-06,2014,Silverstone,"A1,A2,I,W","RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,52,5891,0.0,3.0
9,1,44,HAM,Lewis Hamilton,10,Mercedes,#00D2BE,Mercedes,20,F,3,67,345.2,2014-07-20,2014,Hockenheim,"A3,A4,I,W",,67,67,4574,0.0,3.0
10,1,44,HAM,Lewis Hamilton,11,Mercedes,#00D2BE,Mercedes,22,F,3,70,314.3,2014-07-27,2014,Budapest,"A2,A3,I,W",Wet in the beginning,70,70,4381,0.0,3.0
11,1,44,HAM,Lewis Hamilton,12,Mercedes,#00D2BE,Mercedes,2,DNF,19,38,302.8,2014-08-24,2014,Spa,"A2,A3,I,W",,44,44,7004,0.0,3.0
12,1,44,HAM,Lewis Hamilton,13,Mercedes,#00D2BE,Mercedes,1,F,1,53,358.6,2014-09-07,2014,Monza,"A1,A2,I,W",,53,53,5793,0.0,3.0
13,1,44,HAM,Lewis Hamilton,14,Mercedes,#00D2BE,Mercedes,1,F,1,60,301.9,2014-09-21,2014,Singapore,"A3,A4,I,W",,60,61,5063,0.0,3.0
14,1,44,HAM,Lewis Hamilton,15,Mercedes,#00D2BE,Mercedes,2,F,1,44,270.5,2014-10-05,2014,Suzuka,"A1,A2,I,W","Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,53,5807,0.0,3.0
15,1,44,HAM,Lewis Hamilton,16,Mercedes,#00D2BE,Mercedes,1,F,1,53,306.7,2014-10-12,2014,Sochi,"A2,A3,I,W",,53,53,5848,0.0,3.0
16,1,44,HAM,Lewis Hamilton,17,Mercedes,#00D2BE,Mercedes,2,F,1,56,334.5,2014-11-02,2014,Austin,"A2,A3,I,W",,56,56,5513,0.0,3.0
17,1,44,HAM,Lewis Hamilton,18,Mercedes,#00D2BE,Mercedes,2,F,2,71,331.1,2014-11-09,2014,SaoPaulo,"A2,A3,I,W",,71,71,4309,0.0,3.0
18,1,44,HAM,Lewis Hamilton,19,Mercedes,#00D2BE,Mercedes,2,F,1,55,315.6,2014-11-23,2014,YasMarina,"A3,A4,I,W",,55,55,5554,0.0,3.0
19,2,3,RIC,Daniel Ricciardo,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",,57,58,5303,0.0,2.0
20,2,3,RIC,Daniel Ricciardo,2,RedBull,#1E41FF,Renault,5,DNF,16,49,295.4,2014-03-30,2014,KualaLumpur,"A1,A2,I,W",,56,56,5543,0.0,2.0
21,2,3,RIC,Daniel Ricciardo,3,RedBull,#1E41FF,Renault,13,F,4,57,324.4,2014-04-06,2014,Sakhir,"A2,A3,I,W","Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,57,5412,0.0,2.0
22,2,3,RIC,Daniel Ricciardo,4,RedBull,#1E41FF,Renault,2,F,4,54,321.7,2014-04-20,2014,Shanghai,"A2,A3,I,W",,54,56,5451,0.0,2.0
23,2,3,RIC,Daniel Ricciardo,5,RedBull,#1E41FF,Renault,3,F,3,66,328.8,2014-05-11,2014,Catalunya,"A1,A2,I,W",,66,66,4655,0.0,2.0
24,2,3,RIC,Daniel Ricciardo,6,RedBull,#1E41FF,Renault,3,F,3,78,287.2,2014-05-25,2014,MonteCarlo,"A3,A4,I,W",,78,78,3337,0.0,2.0
25,2,3,RIC,Daniel Ricciardo,7,RedBull,#1E41FF,Renault,6,F,1,70,328.8,2014-06-08,2014,Montreal,"A3,A4,I,W",Race finished behind SC,70,70,4361,0.0,2.0
26,2,3,RIC,Daniel Ricciardo,8,RedBull,#1E41FF,Renault,5,F,8,71,316.1,2014-06-22,2014,Spielberg,"A3,A4,I,W",,71,71,4318,0.0,2.0
27,2,3,RIC,Daniel Ricciardo,9,RedBull,#1E41FF,Renault,8,F,3,52,315.0,2014-07-06,2014,Silverstone,"A1,A2,I,W","RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,52,5891,0.0,2.0
28,2,3,RIC,Daniel Ricciardo,10,RedBull,#1E41FF,Renault,5,F,6,67,334.6,2014-07-20,2014,Hockenheim,"A3,A4,I,W",,67,67,4574,0.0,2.0
29,2,3,RIC,Daniel Ricciardo,11,RedBull,#1E41FF,Renault,4,F,1,70,310.7,2014-07-27,2014,Budapest,"A2,A3,I,W",Wet in the beginning,70,70,4381,0.0,2.0
30,2,3,RIC,Daniel Ricciardo,12,RedBull,#1E41FF,Renault,5,F,1,44,312.4,2014-08-24,2014,Spa,"A2,A3,I,W",,44,44,7004,0.0,2.0
31,2,3,RIC,Daniel Ricciardo,13,RedBull,#1E41FF,Renault,9,F,5,53,362.1,2014-09-07,2014,Monza,"A1,A2,I,W",,53,53,5793,0.0,2.0
32,2,3,RIC,Daniel Ricciardo,14,RedBull,#1E41FF,Renault,3,F,3,60,296.6,2014-09-21,2014,Singapore,"A3,A4,I,W",,60,61,5063,0.0,2.0
33,2,3,RIC,Daniel Ricciardo,15,RedBull,#1E41FF,Renault,6,F,4,44,270.2,2014-10-05,2014,Suzuka,"A1,A2,I,W","Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,53,5807,0.0,2.0
34,2,3,RIC,Daniel Ricciardo,16,RedBull,#1E41FF,Renault,6,F,7,53,328.3,2014-10-12,2014,Sochi,"A2,A3,I,W",,53,53,5848,0.0,2.0
35,2,3,RIC,Daniel Ricciardo,17,RedBull,#1E41FF,Renault,5,F,3,56,325.3,2014-11-02,2014,Austin,"A2,A3,I,W",,56,56,5513,0.0,2.0
36,2,3,RIC,Daniel Ricciardo,18,RedBull,#1E41FF,Renault,9,DNF,18,39,321.0,2014-11-09,2014,SaoPaulo,"A2,A3,I,W",,71,71,4309,0.0,2.0
37,2,3,RIC,Daniel Ricciardo,19,RedBull,#1E41FF,Renault,20,F,4,55,328.7,2014-11-23,2014,YasMarina,"A3,A4,I,W",,55,55,5554,0.0,2.0
38,3,6,ROS,Nico Rosberg,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",,57,58,5303,0.0,2.0
39,3,6,ROS,Nico Rosberg,2,Mercedes,#00D2BE,Mercedes,3,F,2,56,312.7,2014-03-30,2014,KualaLumpur,"A1,A2,I,W",,56,56,5543,0.0,2.0
40,3,6,ROS,Nico Rosberg,3,Mercedes,#00D2BE,Mercedes,1,F,2,57,333.8,2014-04-06,2014,Sakhir,"A2,A3,I,W","Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,57,5412,0.0,2.0
41,3,6,ROS,Nico Rosberg,4,Mercedes,#00D2BE,Mercedes,4,F,2,54,336.8,2014-04-20,2014,Shanghai,"A2,A3,I,W",,54,56,5451,0.0,2.0
42,3,6,ROS,Nico Rosberg,5,Mercedes,#00D2BE,Mercedes,2,F,2,66,334.5,2014-05-11,2014,Catalunya,"A1,A2,I,W",,66,66,4655,0.0,2.0
43,3,6,ROS,Nico Rosberg,6,Mercedes,#00D2BE,Mercedes,1,F,1,78,285.4,2014-05-25,2014,MonteCarlo,"A3,A4,I,W",,78,78,3337,0.0,2.0
44,3,6,ROS,Nico Rosberg,7,Mercedes,#00D2BE,Mercedes,1,F,2,70,312.2,2014-06-08,2014,Montreal,"A3,A4,I,W",Race finished behind SC,70,70,4361,0.0,2.0
45,3,6,ROS,Nico Rosberg,8,Mercedes,#00D2BE,Mercedes,3,F,1,71,310.3,2014-06-22,2014,Spielberg,"A3,A4,I,W",,71,71,4318,0.0,2.0
46,3,6,ROS,Nico Rosberg,9,Mercedes,#00D2BE,Mercedes,1,DNF,18,28,306.8,2014-07-06,2014,Silverstone,"A1,A2,I,W","RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,52,5891,0.0,2.0
