,weather,circuitName,lat,long,location,country,driver_id,carno,initials,name,race_id,team,teamcolor,enginemanufacturer,gridposition,status,resultposition,completedlaps,speedtrap,date,season,availablecompounds,comment,nolaps,nolapsplanned,tracklength,"accidents per driver, per season","failures per driver, per season"
0,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1,44,HAM,Lewis Hamilton,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,3.0
1,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2,3,RIC,Daniel Ricciardo,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,2.0
2,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,3,6,ROS,Nico Rosberg,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,2.0
3,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,4,20,MAG,Kevin Magnussen,1,McLaren,#FF8700,Mercedes,4,F,2,57,316.9,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,1.0
4,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,5,14,ALO,Fernando Alonso,1,Ferrari,#DC0000,Ferrari,5,F,4,57,304.5,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,2.0
5,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,6,25,VER,Jean-Eric Vergne,1,ToroRosso,#469BFF,Renault,6,F,8,57,291.3,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,5.0
6,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,7,27,HUL,Nico Hulkenberg,1,ForceIndia,#F596C8,Mercedes,7,F,6,57,304.2,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,1.0,1.0
7,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,8,26,KVY,Daniil Kvyat,1,ToroRosso,#469BFF,Renault,8,F,9,57,306.3,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,5.0
8,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,9,19,MAS,Felipe Massa,1,Williams,#192c4e,Mercedes,9,DNF,20,0,218.0,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,3.0,0.0
9,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,10,22,BUT,Jenson Button,1,McLaren,#FF8700,Mercedes,10,F,3,57,297.0,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,0.0
10,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,11,7,RAI,Kimi Raikkonen,1,Ferrari,#DC0000,Ferrari,11,F,7,57,298.4,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,1.0,0.0
11,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,12,5,VET,Sebastian Vettel,1,RedBull,#1E41FF,Renault,12,DNF,18,3,225.8,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,3.0
12,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,13,99,SUT,Adrian Sutil,1,Sauber,#9B0000,Ferrari,13,F,11,56,298.0,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,4.0,3.0
13,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,14,10,KOB,Kamui Kobayashi,1,Caterham,#006400,Renault,14,DNF,21,0,226.1,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,1.0,5.0
14,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,15,77,BOT,Valtteri Bottas,1,Williams,#192c4e,Mercedes,15,F,5,57,312.5,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,1.0
15,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,16,11,PER,Sergio Perez,1,ForceIndia,#F596C8,Mercedes,16,F,10,57,301.6,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,3.0,0.0
16,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,17,4,CHI,Max Chilton,1,Marussia,#6E0000,Ferrari,17,F,13,55,280.8,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,2.0,1.0
17,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,18,17,BIA,Jules Bianchi,1,Marussia,#6E0000,Ferrari,18,F,14,49,294.4,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,1.0,1.0
18,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,19,9,ERI,Marcus Ericsson,1,Caterham,#006400,Renault,19,DNF,17,27,297.0,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,1.0,4.0
19,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,20,21,GUT,Esteban Gutierrez,1,Sauber,#9B0000,Ferrari,20,F,12,56,292.5,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,3.0,3.0
20,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,21,13,MAL,Pastor Maldonado,1,LotusF1,#E2B007,Renault,21,DNF,16,29,276.9,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,0.0,6.0
21,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,22,8,GRO,Romain Grosjean,1,LotusF1,#E2B007,Renault,22,DNF,15,43,281.7,2014-03-16,2014,"A2,A3,I,W",,57,58,5303,1.0,5.0
22,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1,44,HAM,Lewis Hamilton,20,Mercedes,#00D2BE,Mercedes,1,F,1,58,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,1.0
23,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2,3,RIC,Daniel Ricciardo,20,RedBull,#1E41FF,Renault,6,F,6,57,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,2.0
24,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,3,6,ROS,Nico Rosberg,20,Mercedes,#00D2BE,Mercedes,2,F,2,58,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,1.0
25,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,7,27,HUL,Nico Hulkenberg,20,ForceIndia,#F596C8,Mercedes,13,F,7,57,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,3.0,3.0
26,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,9,19,MAS,Felipe Massa,20,Williams,#192c4e,Mercedes,3,F,4,58,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,2.0
