id,lat,long,locality,country,season,round
1,-37.8497,144.968,Melbourne,Australia,2014,1
2,2.76083,101.738,Kuala Lumpur,Malaysia,2014,2
3,26.0325,50.5106,Sakhir,Bahrain,2014,3
4,31.3389,121.22,Shanghai,China,2014,4
5,41.57,2.26111,Montmelo,Spain,2014,5
6,43.7347,7.42056,Monte-Carlo,Monaco,2014,6
7,45.5,-73.5228,Montreal,Canada,2014,7
8,47.2197,14.7647,Spielberg,Austria,2014,8
9,52.0786,-1.01694,Silverstone,UK,2014,9
10,49.3278,8.56583,Hockenheim,Germany,2014,10
11,47.5789,19.2486,Budapest,Hungary,2014,11
12,50.4372,5.97139,Spa,Belgium,2014,12
13,45.6156,9.28111,Monza,Italy,2014,13
14,1.2914,103.864,Marina Bay,Singapore,2014,14
15,34.8431,136.541,Suzuka,Japan,2014,15
16,43.4057,39.9578,Sochi,Russia,2014,16
17,30.1328,-97.6411,Austin,USA,2014,17
18,-23.7036,-46.6997,Sao Paulo,Brazil,2014,18
19,24.4672,54.6031,Abu Dhabi,UAE,2014,19
20,-37.8497,144.968,Melbourne,Australia,2015,1
21,2.76083,101.738,Kuala Lumpur,Malaysia,2015,2
22,31.3389,121.22,Shanghai,China,2015,3
23,26.0325,50.5106,Sakhir,Bahrain,2015,4
24,41.57,2.26111,Montmelo,Spain,2015,5
25,43.7347,7.42056,Monte-Carlo,Monaco,2015,6
26,45.5,-73.5228,Montreal,Canada,2015,7
27,47.2197,14.7647,Spielberg,Austria,2015,8
28,52.0786,-1.01694,Silverstone,UK,2015,9
29,47.5789,19.2486,Budapest,Hungary,2015,10
30,50.4372,5.97139,Spa,Belgium,2015,11
31,45.6156,9.28111,Monza,Italy,2015,12
32,1.2914,103.864,Marina Bay,Singapore,2015,13
33,34.8431,136.541,Suzuka,Japan,2015,14
34,43.4057,39.9578,Sochi,Russia,2015,15
35,30.1328,-97.6411,Austin,USA,2015,16
36,19.4042,-99.0907,Mexico City,Mexico,2015,17
37,-23.7036,-46.6997,Sao Paulo,Brazil,2015,18
38,24.4672,54.6031,Abu Dhabi,UAE,2015,19
39,-37.8497,144.968,Melbourne,Australia,2016,1
40,26.0325,50.5106,Sakhir,Bahrain,2016,2
41,31.3389,121.22,Shanghai,China,2016,3
