"race_id","position","driver_id","q1laptime","q2laptime","q3laptime","speedtrap"
"1","1","1","91.699","102.89","104.231","310.7"
"1","2","2","90.775","102.295","104.548","303.2"
"1","3","3","92.564","102.264","104.595","313.8"
"1","4","4","90.949","103.247","105.745","314.8"
"1","5","5","91.388","102.805","105.819","310.9"
"1","6","6","93.488","103.849","105.864","309.4"
"1","7","7","93.893","103.658","106.03","313.6"
"1","8","8","93.777","104.331","107.368","306.8"
"1","9","9","91.228","104.242","108.079","312.9"
"1","10","15","91.601","103.852","108.147","317.5"
"1","11","10","91.396","104.437","null","312"
"1","12","11","92.439","104.494","null","311.4"
"1","13","12","91.931","104.688","null","302"
"1","14","13","93.673","105.655","null","304.3"
"1","15","14","94.274","105.867","null","307.3"
"1","16","16","94.141","107.293","null","315.4"
"1","17","17","94.293","null","null","301.4"
"1","18","18","94.794","null","null","299.5"
"1","19","20","95.117","null","null","308"
"1","20","19","95.157","null","null","306.8"
"1","21","22","96.993","null","null","301.5"
"1","22","21","null","null","null","300.5"
"2","1","1","117.202","119.041","119.431","299.5"
"2","2","12","117.654","119.399","119.486","288.5"
"2","3","3","117.183","119.445","120.05","301.9"
"2","4","5","118.889","121.356","120.175","297.2"
"2","5","2","118.913","120.147","120.541","289.7"
"2","6","11","119.257","121.532","121.218","295.9"
"2","7","7","118.883","120.839","121.712","303"
"2","8","4","120.356","122.094","122.213","301.2"
"2","9","6","121.689","122.096","123.078","297"
"2","10","10","120.889","121.81","124.053","300.7"
"2","11","8","121.175","122.351","null","299.5"
"2","12","20","121.134","122.369","null","292.8"
"2","13","9","120.047","122.46","null","305"
"2","14","16","120.076","122.511","null","303.4"
"2","15","15","119.709","122.756","null","304.3"
"2","16","22","120.202","122.885","null","295.1"
"2","17","21","122.074","null","null","296.6"
"2","18","13","122.131","null","null","291.5"
"2","19","18","122.702","null","null","292"
"2","20","14","123.595","null","null","298"
"2","21","17","124.388","null","null","293.7"
"2","22","19","124.407","null","null","293.3"
"3","1","3","95.439","93.708","93.185","333.8"
"3","2","1","95.323","93.872","93.464","313.4"
"3","3","2","96.22","94.592","94.051","324.4"
"3","4","15","94.934","94.842","94.247","331.6"
"3","5","16","94.998","94.747","94.346","329.7"
"3","6","11","95.234","94.925","94.368","327.8"
"3","7","10","95.699","94.714","94.387","331.2"
"3","8","9","95.085","94.842","94.511","335.7"
"3","9","4","95.288","94.904","94.712","311.1"
"3","10","5","95.251","94.723","94.992","314.4"
"3","11","12","95.549","94.985","null","321.4"
"3","12","7","94.874","95.116","null","328.7"
"3","13","8","95.395","95.145","null","326.2"
"3","14","6","95.815","95.286","null","319"
"3","15","20","96.567","95.891","null","300"
"3","16","22","96.654","95.908","null","318.3"
"3","17","21","96.663","null","null","319.7"
"3","18","13","96.84","null","null","302.7"
"3","19","14","97.085","null","null","312.6"
"3","20","18","97.31","null","null","312.5"
