"race_id","driver_id","team","teamcolor","enginemanufacturer","gridposition","status","resultposition","completedlaps","speedtrap"
"1","1","Mercedes","#00D2BE","Mercedes","1","DNF","19","2","252.8"
"1","2","RedBull","#1E41FF","Renault","2","DQ","22","57","292.7"
"1","3","Mercedes","#00D2BE","Mercedes","3","F","1","57","299.1"
"1","4","McLaren","#FF8700","Mercedes","4","F","2","57","316.9"
"1","5","Ferrari","#DC0000","Ferrari","5","F","4","57","304.5"
"1","6","ToroRosso","#469BFF","Renault","6","F","8","57","291.3"
"1","7","ForceIndia","#F596C8","Mercedes","7","F","6","57","304.2"
"1","8","ToroRosso","#469BFF","Renault","8","F","9","57","306.3"
"1","9","Williams","#192c4e","Mercedes","9","DNF","20","0","218"
"1","10","McLaren","#FF8700","Mercedes","10","F","3","57","297"
"1","11","Ferrari","#DC0000","Ferrari","11","F","7","57","298.4"
"1","12","RedBull","#1E41FF","Renault","12","DNF","18","3","225.8"
"1","13","Sauber","#9B0000","Ferrari","13","F","11","56","298"
"1","14","Caterham","#006400","Renault","14","DNF","21","0","226.1"
"1","15","Williams","#192c4e","Mercedes","15","F","5","57","312.5"
"1","16","ForceIndia","#F596C8","Mercedes","16","F","10","57","301.6"
"1","17","Marussia","#6E0000","Ferrari","17","F","13","55","280.8"
"1","18","Marussia","#6E0000","Ferrari","18","F","14","49","294.4"
"1","19","Caterham","#006400","Renault","19","DNF","17","27","297"
"1","20","Sauber","#9B0000","Ferrari","20","F","12","56","292.5"
"1","21","LotusF1","#E2B007","Renault","21","DNF","16","29","276.9"
"1","22","LotusF1","#E2B007","Renault","22","DNF","15","43","281.7"
"2","1","Mercedes","#00D2BE","Mercedes","1","F","1","56","305.9"
"2","12","RedBull","#1E41FF","Renault","2","F","3","56","307.7"
"2","3","Mercedes","#00D2BE","Mercedes","3","F","2","56","312.7"
"2","5","Ferrari","#DC0000","Ferrari","4","F","4","56","307.4"
"2","2","RedBull","#1E41FF","Renault","5","DNF","16","49","295.4"
"2","11","Ferrari","#DC0000","Ferrari","6","F","12","55","309.5"
"2","7","ForceIndia","#F596C8","Mercedes","7","F","5","56","312.9"
"2","4","McLaren","#FF8700","Mercedes","8","F","9","55","305.6"
"2","6","ToroRosso","#469BFF","Renault","9","DNF","19","18","287.5"
"2","10","McLaren","#FF8700","Mercedes","10","F","6","56","308.4"
"2","8","ToroRosso","#469BFF","Renault","11","F","10","55","310"
"2","20","Sauber","#9B0000","Ferrari","12","DNF","17","35","300.9"
"2","9","Williams","#192c4e","Mercedes","13","F","7","56","324.5"
"2","16","ForceIndia","#F596C8","Mercedes","14","DNF","22","0","null"
"2","22","LotusF1","#E2B007","Renault","15","F","11","55","304.3"
"2","21","LotusF1","#E2B007","Renault","16","DNF","21","7","277.7"
"2","13","Sauber","#9B0000","Ferrari","17","DNF","18","32","299.5"
"2","15","Williams","#192c4e","Mercedes","18","F","8","56","320.6"
"2","18","Marussia","#6E0000","Ferrari","19","DNF","20","8","290.1"
"2","14","Caterham","#006400","Renault","20","F","13","55","300.5"
"2","17","Marussia","#6E0000","Ferrari","21","F","15","54","295.4"
"2","19","Caterham","#006400","Renault","22","F","14","54","306.3"
"3","3","Mercedes","#00D2BE","Mercedes","1","F","2","57","333.8"
"3","1","Mercedes","#00D2BE","Mercedes","2","F","1","57","313.4"
"3","15","Williams","#192c4e","Mercedes","3","F","8","57","331.6"
"3","16","ForceIndia","#F596C8","Mercedes","4","F","3","57","329.7"
"3","11","Ferrari","#DC0000","Ferrari","5","F","10","57","327.8"
"3","10","McLaren","#FF8700","Mercedes","6","DNF","17","55","331.2"
"3","9","Williams","#192c4e","Mercedes","7","F","7","57","335.7"
"3","4","McLaren","#FF8700","Mercedes","8","DNF","18","40","311.1"
"3","5","Ferrari","#DC0000","Ferrari","9","F","9","57","314.4"
"3","12","RedBull","#1E41FF","Renault","10","F","6","57","321.4"
"3","7","ForceIndia","#F596C8","Mercedes","11","F","5","57","328.7"
"3","8","ToroRosso","#469BFF","Renault","12","F","11","57","326.2"
"3","2","RedBull","#1E41FF","Renault","13","F","4","57","324.4"
"3","6","ToroRosso","#469BFF","Renault","14","DNF","21","18","319"
