id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date,lat,long,locality,country,season,round
1,65,63,38,100,10.3,Rain,Light Rain,10d,2014-03-16,-37.8497,144.968,Melbourne,Australia,2014,1
2,89,98,62,75,4.63,Clouds,Broken Clouds,04d,2014-03-30,2.76083,101.738,Kuala Lumpur,Malaysia,2014,2
3,72,72,64,0,5.87,Clear,Clear Sky,01n,2014-04-06,26.0325,50.5106,Sakhir,Bahrain,2014,3
4,64,63,67,75,3,Clouds,Broken Clouds,04d,2014-04-20,31.3389,121.22,Shanghai,China,2014,4
5,74,74,53,40,7.2,Clouds,Scattered Clouds,03d,2014-05-11,41.57,2.26111,Montmelo,Spain,2014,5
6,62,61,62,75,2.1,Clouds,Broken Clouds,04d,2014-05-25,43.7347,7.42056,Monte-Carlo,Monaco,2014,6
7,81,80,36,0,5.14,Clear,Clear Sky,01d,2014-06-08,45.5,-73.5228,Montreal,Canada,2014,7
8,77,76,35,20,2,Clouds,Few Clouds,02d,2014-06-22,47.2197,14.7647,Spielberg,Austria,2014,8
9,65,63,54,99,3.77,Clouds,Overcast Clouds,04d,2014-07-06,52.0786,-1.01694,Silverstone,UK,2014,9
10,79,79,57,0,4.12,Clear,Clear Sky,01d,2014-07-20,49.3278,8.56583,Hockenheim,Germany,2014,10
11,72,73,76,75,2,Thunderstorm,Thunderstorm,11d,2014-07-27,47.5789,19.2486,Budapest,Hungary,2014,11
12,58,56,71,40,4,Clouds,Scattered Clouds,03d,2014-08-24,50.4372,5.97139,Spa,Belgium,2014,12
13,77,77,61,0,2.1,Clear,Clear Sky,01d,2014-09-07,45.6156,9.28111,Monza,Italy,2014,13
14,86,92,62,75,3.6,Haze,Haze,50n,2014-09-21,1.2914,103.864,Marina Bay,Singapore,2014,14
15,70,71,96,100,2.1,Rain,Light Intensity Shower Rain,09d,2014-10-05,34.8431,136.541,Suzuka,Japan,2014,15
16,71,70,58,20,3,Clouds,Few Clouds,02d,2014-10-12,43.4057,39.9578,Sochi,Russia,2014,16
17,73,72,41,75,6.7,Clouds,Broken Clouds,04d,2014-11-02,30.1328,-97.6411,Austin,USA,2014,17
18,76,76,53,75,5.7,Rain,Light Rain,10d,2014-11-09,-23.7036,-46.6997,Sao Paulo,Brazil,2014,18
19,81,82,51,0,3.1,Clear,Clear Sky,01d,2014-11-23,24.4672,54.6031,Abu Dhabi,UAE,2014,19
20,64,63,56,0,8.2,Clear,Clear Sky,01d,2015-03-15,-37.8497,144.968,Melbourne,Australia,2015,1
21,87,91,55,75,1.5,Clouds,Broken Clouds,04d,2015-03-29,2.76083,101.738,Kuala Lumpur,Malaysia,2015,2
22,68,67,46,6,2.98,Clear,Clear Sky,01d,2015-04-12,31.3389,121.22,Shanghai,China,2015,3
23,76,76,63,0,7.24,Clear,Clear Sky,01d,2015-04-19,26.0325,50.5106,Sakhir,Bahrain,2015,4
