,index,lat,long,locality,country,season,round
0,0,-37.8497,144.968,Melbourne,Australia,2014,1
1,1,2.76083,101.738,Kuala Lumpur,Malaysia,2014,2
2,2,26.0325,50.5106,Sakhir,Bahrain,2014,3
3,3,31.3389,121.22,Shanghai,China,2014,4
4,4,41.57,2.26111,Montmeló,Spain,2014,5
5,5,43.7347,7.42056,Monte-Carlo,Monaco,2014,6
6,6,45.5,-73.5228,Montreal,Canada,2014,7
7,7,47.2197,14.7647,Spielberg,Austria,2014,8
8,8,52.0786,-1.01694,Silverstone,UK,2014,9
9,9,49.3278,8.56583,Hockenheim,Germany,2014,10
10,10,47.5789,19.2486,Budapest,Hungary,2014,11
11,11,50.4372,5.97139,Spa,Belgium,2014,12
12,12,45.6156,9.28111,Monza,Italy,2014,13
13,13,1.2914,103.864,Marina Bay,Singapore,2014,14
14,14,34.8431,136.541,Suzuka,Japan,2014,15
15,15,43.4057,39.9578,Sochi,Russia,2014,16
16,16,30.1328,-97.6411,Austin,USA,2014,17
17,17,-23.7036,-46.6997,São Paulo,Brazil,2014,18
18,18,24.4672,54.6031,Abu Dhabi,UAE,2014,19
19,16,19.4042,-99.0907,Mexico City,Mexico,2015,17
20,7,40.3725,49.8533,Baku,Azerbaijan,2016,8
21,7,43.2506,5.79167,Le Castellet,France,2018,8
