season,name,team,enginemanufacturer,"accidents per driver, per season","failures per driver, per season"
2014,Lewis Hamilton,Mercedes,Mercedes,0.0,3.0
2014,Daniel Ricciardo,RedBull,Renault,0.0,2.0
2014,Nico Rosberg,Mercedes,Mercedes,0.0,2.0
2014,Kevin Magnussen,McLaren,Mercedes,0.0,1.0
2014,Fernando Alonso,Ferrari,Ferrari,0.0,2.0
2014,Jean-Eric Vergne,ToroRosso,Renault,0.0,5.0
2014,Nico Hulkenberg,ForceIndia,Mercedes,1.0,1.0
2014,Daniil Kvyat,ToroRosso,Renault,0.0,5.0
2014,Felipe Massa,Williams,Mercedes,3.0,0.0
2014,Jenson Button,McLaren,Mercedes,0.0,0.0
2014,Kimi Raikkonen,Ferrari,Ferrari,1.0,0.0
2014,Sebastian Vettel,RedBull,Renault,0.0,3.0
2014,Adrian Sutil,Sauber,Ferrari,4.0,3.0
2014,Kamui Kobayashi,Caterham,Renault,1.0,5.0
2014,Valtteri Bottas,Williams,Mercedes,0.0,1.0
2014,Sergio Perez,ForceIndia,Mercedes,3.0,0.0
2014,Max Chilton,Marussia,Ferrari,2.0,1.0
2014,Jules Bianchi,Marussia,Ferrari,1.0,1.0
2014,Marcus Ericsson,Caterham,Renault,1.0,4.0
2014,Esteban Gutierrez,Sauber,Ferrari,3.0,3.0
2014,Pastor Maldonado,LotusF1,Renault,0.0,6.0
2014,Romain Grosjean,LotusF1,Renault,1.0,5.0
2014,Lewis Hamilton,Mercedes,Mercedes,0.0,3.0
2014,Daniel Ricciardo,RedBull,Renault,0.0,2.0
2014,Nico Rosberg,Mercedes,Mercedes,0.0,2.0
2014,Kevin Magnussen,McLaren,Mercedes,0.0,1.0
2014,Fernando Alonso,Ferrari,Ferrari,0.0,2.0
2014,Jean-Eric Vergne,ToroRosso,Renault,0.0,5.0
2014,Nico Hulkenberg,ForceIndia,Mercedes,1.0,1.0
2014,Daniil Kvyat,ToroRosso,Renault,0.0,5.0
2014,Felipe Massa,Williams,Mercedes,3.0,0.0
2014,Jenson Button,McLaren,Mercedes,0.0,0.0
2014,Kimi Raikkonen,Ferrari,Ferrari,1.0,0.0
2014,Sebastian Vettel,RedBull,Renault,0.0,3.0
2014,Adrian Sutil,Sauber,Ferrari,4.0,3.0
2014,Kamui Kobayashi,Caterham,Renault,1.0,5.0
2014,Valtteri Bottas,Williams,Mercedes,0.0,1.0
2014,Sergio Perez,ForceIndia,Mercedes,3.0,0.0
2014,Max Chilton,Marussia,Ferrari,2.0,1.0
2014,Jules Bianchi,Marussia,Ferrari,1.0,1.0
2014,Marcus Ericsson,Caterham,Renault,1.0,4.0
2014,Esteban Gutierrez,Sauber,Ferrari,3.0,3.0
2014,Pastor Maldonado,LotusF1,Renault,0.0,6.0
2014,Romain Grosjean,LotusF1,Renault,1.0,5.0
2014,Lewis Hamilton,Mercedes,Mercedes,0.0,3.0
2014,Daniel Ricciardo,RedBull,Renault,0.0,2.0
2014,Nico Rosberg,Mercedes,Mercedes,0.0,2.0
2014,Kevin Magnussen,McLaren,Mercedes,0.0,1.0
2014,Fernando Alonso,Ferrari,Ferrari,0.0,2.0
2014,Jean-Eric Vergne,ToroRosso,Renault,0.0,5.0
2014,Nico Hulkenberg,ForceIndia,Mercedes,1.0,1.0
2014,Daniil Kvyat,ToroRosso,Renault,0.0,5.0
2014,Felipe Massa,Williams,Mercedes,3.0,0.0
2014,Jenson Button,McLaren,Mercedes,0.0,0.0
2014,Kimi Raikkonen,Ferrari,Ferrari,1.0,0.0
2014,Sebastian Vettel,RedBull,Renault,0.0,3.0
2014,Adrian Sutil,Sauber,Ferrari,4.0,3.0
2014,Kamui Kobayashi,Caterham,Renault,1.0,5.0
2014,Valtteri Bottas,Williams,Mercedes,0.0,1.0
2014,Sergio Perez,ForceIndia,Mercedes,3.0,0.0
2014,Max Chilton,Marussia,Ferrari,2.0,1.0
2014,Jules Bianchi,Marussia,Ferrari,1.0,1.0
2014,Marcus Ericsson,Caterham,Renault,1.0,4.0
2014,Esteban Gutierrez,Sauber,Ferrari,3.0,3.0
2014,Pastor Maldonado,LotusF1,Renault,0.0,6.0
2014,Romain Grosjean,LotusF1,Renault,1.0,5.0
2014,Lewis Hamilton,Mercedes,Mercedes,0.0,3.0
2014,Daniel Ricciardo,RedBull,Renault,0.0,2.0
2014,Nico Rosberg,Mercedes,Mercedes,0.0,2.0
2014,Kevin Magnussen,McLaren,Mercedes,0.0,1.0
2014,Fernando Alonso,Ferrari,Ferrari,0.0,2.0
2014,Jean-Eric Vergne,ToroRosso,Renault,0.0,5.0
2014,Nico Hulkenberg,ForceIndia,Mercedes,1.0,1.0
2014,Daniil Kvyat,ToroRosso,Renault,0.0,5.0
2014,Felipe Massa,Williams,Mercedes,3.0,0.0
2014,Jenson Button,McLaren,Mercedes,0.0,0.0
2014,Kimi Raikkonen,Ferrari,Ferrari,1.0,0.0
2014,Sebastian Vettel,RedBull,Renault,0.0,3.0
2014,Adrian Sutil,Sauber,Ferrari,4.0,3.0
2014,Kamui Kobayashi,Caterham,Renault,1.0,5.0
2014,Valtteri Bottas,Williams,Mercedes,0.0,1.0
2014,Sergio Perez,ForceIndia,Mercedes,3.0,0.0
2014,Max Chilton,Marussia,Ferrari,2.0,1.0
2014,Jules Bianchi,Marussia,Ferrari,1.0,1.0
2014,Marcus Ericsson,Caterham,Renault,1.0,4.0
2014,Esteban Gutierrez,Sauber,Ferrari,3.0,3.0
2014,Pastor Maldonado,LotusF1,Renault,0.0,6.0
2014,Romain Grosjean,LotusF1,Renault,1.0,5.0
2014,Lewis Hamilton,Mercedes,Mercedes,0.0,3.0
2014,Daniel Ricciardo,RedBull,Renault,0.0,2.0
2014,Nico Rosberg,Mercedes,Mercedes,0.0,2.0
2014,Kevin Magnussen,McLaren,Mercedes,0.0,1.0
2014,Fernando Alonso,Ferrari,Ferrari,0.0,2.0
2014,Jean-Eric Vergne,ToroRosso,Renault,0.0,5.0
2014,Nico Hulkenberg,ForceIndia,Mercedes,1.0,1.0
2014,Daniil Kvyat,ToroRosso,Renault,0.0,5.0
2014,Felipe Massa,Williams,Mercedes,3.0,0.0
2014,Jenson Button,McLaren,Mercedes,0.0,0.0
2014,Kimi Raikkonen,Ferrari,Ferrari,1.0,0.0
2014,Sebastian Vettel,RedBull,Renault,0.0,3.0
2014,Adrian Sutil,Sauber,Ferrari,4.0,3.0
2014,Kamui Kobayashi,Caterham,Renault,1.0,5.0
2014,Valtteri Bottas,Williams,Mercedes,0.0,1.0
2014,Sergio Perez,ForceIndia,Mercedes,3.0,0.0
2014,Max Chilton,Marussia,Ferrari,2.0,1.0
2014,Jules Bianchi,Marussia,Ferrari,1.0,1.0
2014,Marcus Ericsson,Caterham,Renault,1.0,4.0
2014,Esteban Gutierrez,Sauber,Ferrari,3.0,3.0
2014,Pastor Maldonado,LotusF1,Renault,0.0,6.0
2014,Romain Grosjean,LotusF1,Renault,1.0,5.0
2014,Lewis Hamilton,Mercedes,Mercedes,0.0,3.0
2014,Daniel Ricciardo,RedBull,Renault,0.0,2.0
