,season,date,race_id,location,circuitName,weather,name,team,enginemanufacturer,status,"accidents per driver, per season","failures per driver, per season"
0,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Lewis Hamilton,Mercedes,Mercedes,DNF,0.0,3.0
1,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Daniel Ricciardo,RedBull,Renault,DQ,0.0,2.0
2,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Nico Rosberg,Mercedes,Mercedes,F,0.0,2.0
3,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Kevin Magnussen,McLaren,Mercedes,F,0.0,1.0
4,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Fernando Alonso,Ferrari,Ferrari,F,0.0,2.0
5,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Jean-Eric Vergne,ToroRosso,Renault,F,0.0,5.0
6,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Nico Hulkenberg,ForceIndia,Mercedes,F,1.0,1.0
7,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Daniil Kvyat,ToroRosso,Renault,F,0.0,5.0
8,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Felipe Massa,Williams,Mercedes,DNF,3.0,0.0
9,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Jenson Button,McLaren,Mercedes,F,0.0,0.0
10,2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",Kimi Raikkonen,Ferrari,Ferrari,F,1.0,0.0
