,lat,long,locality,country,season,round
0,-37.8497,144.968,Melbourne,Australia,2014,1
1,2.76083,101.738,Kuala Lumpur,Malaysia,2014,2
2,26.0325,50.5106,Sakhir,Bahrain,2014,3
3,31.3389,121.22,Shanghai,China,2014,4
4,41.57,2.26111,Montmeló,Spain,2014,5
5,43.7347,7.42056,Monte-Carlo,Monaco,2014,6
6,45.5,-73.5228,Montreal,Canada,2014,7
7,47.2197,14.7647,Spielberg,Austria,2014,8
8,52.0786,-1.01694,Silverstone,UK,2014,9
9,49.3278,8.56583,Hockenheim,Germany,2014,10
10,47.5789,19.2486,Budapest,Hungary,2014,11
11,50.4372,5.97139,Spa,Belgium,2014,12
12,45.6156,9.28111,Monza,Italy,2014,13
13,1.2914,103.864,Marina Bay,Singapore,2014,14
14,34.8431,136.541,Suzuka,Japan,2014,15
15,43.4057,39.9578,Sochi,Russia,2014,16
16,30.1328,-97.6411,Austin,USA,2014,17
17,-23.7036,-46.6997,São Paulo,Brazil,2014,18
18,24.4672,54.6031,Abu Dhabi,UAE,2014,19
0,-37.8497,144.968,Melbourne,Australia,2015,1
1,2.76083,101.738,Kuala Lumpur,Malaysia,2015,2
2,31.3389,121.22,Shanghai,China,2015,3
3,26.0325,50.5106,Sakhir,Bahrain,2015,4
4,41.57,2.26111,Montmeló,Spain,2015,5
5,43.7347,7.42056,Monte-Carlo,Monaco,2015,6
6,45.5,-73.5228,Montreal,Canada,2015,7
7,47.2197,14.7647,Spielberg,Austria,2015,8
8,52.0786,-1.01694,Silverstone,UK,2015,9
9,47.5789,19.2486,Budapest,Hungary,2015,10
10,50.4372,5.97139,Spa,Belgium,2015,11
11,45.6156,9.28111,Monza,Italy,2015,12
12,1.2914,103.864,Marina Bay,Singapore,2015,13
13,34.8431,136.541,Suzuka,Japan,2015,14
14,43.4057,39.9578,Sochi,Russia,2015,15
15,30.1328,-97.6411,Austin,USA,2015,16
16,19.4042,-99.0907,Mexico City,Mexico,2015,17
17,-23.7036,-46.6997,São Paulo,Brazil,2015,18
18,24.4672,54.6031,Abu Dhabi,UAE,2015,19
0,-37.8497,144.968,Melbourne,Australia,2016,1
1,26.0325,50.5106,Sakhir,Bahrain,2016,2
2,31.3389,121.22,Shanghai,China,2016,3
3,43.4057,39.9578,Sochi,Russia,2016,4
4,41.57,2.26111,Montmeló,Spain,2016,5
5,43.7347,7.42056,Monte-Carlo,Monaco,2016,6
6,45.5,-73.5228,Montreal,Canada,2016,7
7,40.3725,49.8533,Baku,Azerbaijan,2016,8
8,47.2197,14.7647,Spielberg,Austria,2016,9
