id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date
1,65,63,38,100,10.3,Rain,Light Rain,10d,3/16/2014
2,89,98,62,75,4.63,Clouds,Broken Clouds,04d,3/30/2014
3,72,72,64,0,5.87,Clear,Clear Sky,01n,4/6/2014
4,64,63,67,75,3,Clouds,Broken Clouds,04d,4/20/2014
5,74,74,53,40,7.2,Clouds,Scattered Clouds,03d,5/11/2014
6,62,61,62,75,2.1,Clouds,Broken Clouds,04d,5/25/2014
7,81,80,36,0,5.14,Clear,Clear Sky,01d,6/8/2014
8,77,76,35,20,2,Clouds,Few Clouds,02d,6/22/2014
9,65,63,54,99,3.77,Clouds,Overcast Clouds,04d,7/6/2014
10,79,79,57,0,4.12,Clear,Clear Sky,01d,7/20/2014
11,72,73,76,75,2,Thunderstorm,Thunderstorm,11d,7/27/2014
12,58,56,71,40,4,Clouds,Scattered Clouds,03d,8/24/2014
13,77,77,61,0,2.1,Clear,Clear Sky,01d,9/7/2014
14,86,92,62,75,3.6,Haze,Haze,50n,9/21/2014
15,70,71,96,100,2.1,Rain,Light Intensity Shower Rain,09d,10/5/2014
16,71,70,58,20,3,Clouds,Few Clouds,02d,10/12/2014
17,73,72,41,75,6.7,Clouds,Broken Clouds,04d,11/2/2014
18,76,76,53,75,5.7,Rain,Light Rain,10d,11/9/2014
19,81,82,51,0,3.1,Clear,Clear Sky,01d,11/23/2014
20,64,63,56,0,8.2,Clear,Clear Sky,01d,3/15/2015
21,87,91,55,75,1.5,Clouds,Broken Clouds,04d,3/29/2015
22,68,67,46,6,2.98,Clear,Clear Sky,01d,4/12/2015
23,76,76,63,0,7.24,Clear,Clear Sky,01d,4/19/2015
24,77,77,39,0,4.1,Clear,Clear Sky,01d,5/10/2015
25,64,63,68,40,3.6,Clouds,Scattered Clouds,03d,5/24/2015
26,69,67,30,100,5.7,Clouds,Overcast Clouds,04d,6/7/2015
27,58,56,46,40,2,Clouds,Scattered Clouds,03d,6/21/2015
28,67,66,57,71,3.99,Clouds,Broken Clouds,04d,7/5/2015
