season,date,race_id,location,circuitName,weather,lat,long,driver_id,name,team,enginemanufacturer,resultposition,gridposition,status,completedlaps,comment,nolaps,tracklength
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,1,Lewis Hamilton,Mercedes,Mercedes,19,1,DNF,2,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,2,Daniel Ricciardo,RedBull,Renault,22,2,DQ,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,3,Nico Rosberg,Mercedes,Mercedes,1,3,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,4,Kevin Magnussen,McLaren,Mercedes,2,4,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,5,Fernando Alonso,Ferrari,Ferrari,4,5,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,6,Jean-Eric Vergne,ToroRosso,Renault,8,6,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,7,Nico Hulkenberg,ForceIndia,Mercedes,6,7,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,8,Daniil Kvyat,ToroRosso,Renault,9,8,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,9,Felipe Massa,Williams,Mercedes,20,9,DNF,0,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,10,Jenson Button,McLaren,Mercedes,3,10,F,57,,57,5303
