driver_id,season,date,race_id,team,teamcolor,status,resultposition,speedtrap,location,comment,name,id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,lat,long,locality,country,round,accidents,failures
22,2014,2014-03-16,1,LotusF1,#E2B007,DNF,15,281.7,Melbourne,null,Romain Grosjean,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,1,5
21,2014,2014-03-16,1,LotusF1,#E2B007,DNF,16,276.9,Melbourne,null,Pastor Maldonado,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,6
20,2014,2014-03-16,1,Sauber,#9B0000,F,12,292.5,Melbourne,null,Esteban Gutierrez,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,3,3
19,2014,2014-03-16,1,Caterham,#006400,DNF,17,297,Melbourne,null,Marcus Ericsson,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,1,4
18,2014,2014-03-16,1,Marussia,#6E0000,F,14,294.4,Melbourne,null,Jules Bianchi,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,1,1
17,2014,2014-03-16,1,Marussia,#6E0000,F,13,280.8,Melbourne,null,Max Chilton,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,2,1
16,2014,2014-03-16,1,ForceIndia,#F596C8,F,10,301.6,Melbourne,null,Sergio Perez,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,3,0
15,2014,2014-03-16,1,Williams,#192c4e,F,5,312.5,Melbourne,null,Valtteri Bottas,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,1
14,2014,2014-03-16,1,Caterham,#006400,DNF,21,226.1,Melbourne,null,Kamui Kobayashi,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,1,5
13,2014,2014-03-16,1,Sauber,#9B0000,F,11,298,Melbourne,null,Adrian Sutil,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,4,3
12,2014,2014-03-16,1,RedBull,#1E41FF,DNF,18,225.8,Melbourne,null,Sebastian Vettel,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,3
11,2014,2014-03-16,1,Ferrari,#DC0000,F,7,298.4,Melbourne,null,Kimi Raikkonen,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,1,0
10,2014,2014-03-16,1,McLaren,#FF8700,F,3,297,Melbourne,null,Jenson Button,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,0
9,2014,2014-03-16,1,Williams,#192c4e,DNF,20,218,Melbourne,null,Felipe Massa,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,3,0
8,2014,2014-03-16,1,ToroRosso,#469BFF,F,9,306.3,Melbourne,null,Daniil Kvyat,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,5
7,2014,2014-03-16,1,ForceIndia,#F596C8,F,6,304.2,Melbourne,null,Nico Hulkenberg,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,1,1
6,2014,2014-03-16,1,ToroRosso,#469BFF,F,8,291.3,Melbourne,null,Jean-Eric Vergne,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,5
5,2014,2014-03-16,1,Ferrari,#DC0000,F,4,304.5,Melbourne,null,Fernando Alonso,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,2
4,2014,2014-03-16,1,McLaren,#FF8700,F,2,316.9,Melbourne,null,Kevin Magnussen,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,1
3,2014,2014-03-16,1,Mercedes,#00D2BE,F,1,299.1,Melbourne,null,Nico Rosberg,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,2
2,2014,2014-03-16,1,RedBull,#1E41FF,DQ,22,292.7,Melbourne,null,Daniel Ricciardo,1,65,63,38,100,10.3,Rain,Light Rain,10d,-37.8497,144.968,Melbourne,Australia,1,0,2
