,driver_id,carno,initials,name,season_x,accidents,failures,race_id,team,teamcolor,enginemanufacturer,gridposition,status,resultposition,completedlaps,speedtrap,date,season_y,location,availablecompounds,comment,nolaps,nolapsplanned,tracklength
0,1,44,HAM,Lewis Hamilton,2014,0.0,3.0,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
1,1,44,HAM,Lewis Hamilton,2015,0.0,1.0,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
2,1,44,HAM,Lewis Hamilton,2016,1.0,1.0,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
3,1,44,HAM,Lewis Hamilton,2017,0.0,0.0,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
4,1,44,HAM,Lewis Hamilton,2018,0.0,1.0,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
5,1,44,HAM,Lewis Hamilton,2019,0.0,0.0,1,Mercedes,#00D2BE,Mercedes,1,DNF,19,2,252.8,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
6,2,3,RIC,Daniel Ricciardo,2014,0.0,2.0,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
7,2,3,RIC,Daniel Ricciardo,2015,0.0,2.0,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
8,2,3,RIC,Daniel Ricciardo,2016,0.0,0.0,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
9,2,3,RIC,Daniel Ricciardo,2017,1.0,5.0,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
10,2,3,RIC,Daniel Ricciardo,2018,1.0,7.0,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
11,2,3,RIC,Daniel Ricciardo,2019,1.0,3.0,1,RedBull,#1E41FF,Renault,2,DQ,22,57,292.7,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
12,3,6,ROS,Nico Rosberg,2014,0.0,2.0,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
13,3,6,ROS,Nico Rosberg,2015,0.0,1.0,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
14,3,6,ROS,Nico Rosberg,2016,1.0,0.0,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
15,3,6,ROS,Nico Rosberg,2017,Null,Null,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
16,3,6,ROS,Nico Rosberg,2018,Null,Null,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
17,3,6,ROS,Nico Rosberg,2019,Null,Null,1,Mercedes,#00D2BE,Mercedes,3,F,1,57,299.1,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
18,4,20,MAG,Kevin Magnussen,2014,0.0,1.0,1,McLaren,#FF8700,Mercedes,4,F,2,57,316.9,2014-03-16,2014,Melbourne,"A2,A3,I,W",Null,57,58,5303
