season,date,race_id,location,driver_id,name,team,enginemanufacturer,resultposition,gridposition,status,completedlaps,comment,nolaps,tracklength
2014,2014-03-16,1,Melbourne,1,Lewis Hamilton,Mercedes,Mercedes,19,1,DNF,2,,57,5303
2014,2014-03-30,2,KualaLumpur,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,56,,56,5543
2014,2014-04-06,3,Sakhir,1,Lewis Hamilton,Mercedes,Mercedes,1,2,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,54,,54,5451
2014,2014-05-11,5,Catalunya,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,66,,66,4655
2014,2014-05-25,6,MonteCarlo,1,Lewis Hamilton,Mercedes,Mercedes,2,2,F,78,,78,3337
2014,2014-06-08,7,Montreal,1,Lewis Hamilton,Mercedes,Mercedes,17,2,DNF,46,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,1,Lewis Hamilton,Mercedes,Mercedes,2,9,F,71,,71,4318
2014,2014-07-06,9,Silverstone,1,Lewis Hamilton,Mercedes,Mercedes,1,6,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,1,Lewis Hamilton,Mercedes,Mercedes,3,20,F,67,,67,4574
2014,2014-07-27,11,Budapest,1,Lewis Hamilton,Mercedes,Mercedes,3,22,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,1,Lewis Hamilton,Mercedes,Mercedes,19,2,DNF,38,,44,7004
2014,2014-09-07,13,Monza,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,53,,53,5793
2014,2014-09-21,14,Singapore,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,60,,60,5063
2014,2014-10-05,15,Suzuka,1,Lewis Hamilton,Mercedes,Mercedes,1,2,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,53,,53,5848
2014,2014-11-02,17,Austin,1,Lewis Hamilton,Mercedes,Mercedes,1,2,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,1,Lewis Hamilton,Mercedes,Mercedes,2,2,F,71,,71,4309
2014,2014-11-23,19,YasMarina,1,Lewis Hamilton,Mercedes,Mercedes,1,2,F,55,,55,5554
2014,2014-03-16,1,Melbourne,2,Daniel Ricciardo,RedBull,Renault,22,2,DQ,57,,57,5303
2014,2014-03-30,2,KualaLumpur,2,Daniel Ricciardo,RedBull,Renault,16,5,DNF,49,,56,5543
2014,2014-04-06,3,Sakhir,2,Daniel Ricciardo,RedBull,Renault,4,13,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,2,Daniel Ricciardo,RedBull,Renault,4,2,F,54,,54,5451
2014,2014-05-11,5,Catalunya,2,Daniel Ricciardo,RedBull,Renault,3,3,F,66,,66,4655
2014,2014-05-25,6,MonteCarlo,2,Daniel Ricciardo,RedBull,Renault,3,3,F,78,,78,3337
2014,2014-06-08,7,Montreal,2,Daniel Ricciardo,RedBull,Renault,1,6,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,2,Daniel Ricciardo,RedBull,Renault,8,5,F,71,,71,4318
2014,2014-07-06,9,Silverstone,2,Daniel Ricciardo,RedBull,Renault,3,8,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,2,Daniel Ricciardo,RedBull,Renault,6,5,F,67,,67,4574
2014,2014-07-27,11,Budapest,2,Daniel Ricciardo,RedBull,Renault,1,4,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,2,Daniel Ricciardo,RedBull,Renault,1,5,F,44,,44,7004
2014,2014-09-07,13,Monza,2,Daniel Ricciardo,RedBull,Renault,5,9,F,53,,53,5793
2014,2014-09-21,14,Singapore,2,Daniel Ricciardo,RedBull,Renault,3,3,F,60,,60,5063
2014,2014-10-05,15,Suzuka,2,Daniel Ricciardo,RedBull,Renault,4,6,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,2,Daniel Ricciardo,RedBull,Renault,7,6,F,53,,53,5848
2014,2014-11-02,17,Austin,2,Daniel Ricciardo,RedBull,Renault,3,5,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,2,Daniel Ricciardo,RedBull,Renault,18,9,DNF,39,,71,4309
2014,2014-11-23,19,YasMarina,2,Daniel Ricciardo,RedBull,Renault,4,20,F,55,,55,5554
2014,2014-03-16,1,Melbourne,3,Nico Rosberg,Mercedes,Mercedes,1,3,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,3,Nico Rosberg,Mercedes,Mercedes,2,3,F,56,,56,5543
2014,2014-04-06,3,Sakhir,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,3,Nico Rosberg,Mercedes,Mercedes,2,4,F,54,,54,5451
2014,2014-05-11,5,Catalunya,3,Nico Rosberg,Mercedes,Mercedes,2,2,F,66,,66,4655
2014,2014-05-25,6,MonteCarlo,3,Nico Rosberg,Mercedes,Mercedes,1,1,F,78,,78,3337
2014,2014-06-08,7,Montreal,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,3,Nico Rosberg,Mercedes,Mercedes,1,3,F,71,,71,4318
2014,2014-07-06,9,Silverstone,3,Nico Rosberg,Mercedes,Mercedes,18,1,DNF,28,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,3,Nico Rosberg,Mercedes,Mercedes,1,1,F,67,,67,4574
2014,2014-07-27,11,Budapest,3,Nico Rosberg,Mercedes,Mercedes,4,1,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,44,,44,7004
2014,2014-09-07,13,Monza,3,Nico Rosberg,Mercedes,Mercedes,2,2,F,53,,53,5793
2014,2014-09-21,14,Singapore,3,Nico Rosberg,Mercedes,Mercedes,21,2,DNF,13,,60,5063
2014,2014-10-05,15,Suzuka,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,3,Nico Rosberg,Mercedes,Mercedes,2,2,F,53,,53,5848
2014,2014-11-02,17,Austin,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,3,Nico Rosberg,Mercedes,Mercedes,1,1,F,71,,71,4309
2014,2014-11-23,19,YasMarina,3,Nico Rosberg,Mercedes,Mercedes,14,1,F,54,,55,5554
2014,2014-03-16,1,Melbourne,4,Kevin Magnussen,McLaren,Mercedes,2,4,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,4,Kevin Magnussen,McLaren,Mercedes,9,8,F,55,,56,5543
2014,2014-04-06,3,Sakhir,4,Kevin Magnussen,McLaren,Mercedes,18,8,DNF,40,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,4,Kevin Magnussen,McLaren,Mercedes,13,15,F,53,,54,5451
2014,2014-05-11,5,Catalunya,4,Kevin Magnussen,McLaren,Mercedes,12,14,F,65,,66,4655
2014,2014-05-25,6,MonteCarlo,4,Kevin Magnussen,McLaren,Mercedes,10,8,F,77,,78,3337
2014,2014-06-08,7,Montreal,4,Kevin Magnussen,McLaren,Mercedes,9,12,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,4,Kevin Magnussen,McLaren,Mercedes,7,6,F,71,,71,4318
2014,2014-07-06,9,Silverstone,4,Kevin Magnussen,McLaren,Mercedes,7,5,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,4,Kevin Magnussen,McLaren,Mercedes,9,4,F,66,,67,4574
2014,2014-07-27,11,Budapest,4,Kevin Magnussen,McLaren,Mercedes,12,21,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,4,Kevin Magnussen,McLaren,Mercedes,12,7,F,44,,44,7004
2014,2014-09-07,13,Monza,4,Kevin Magnussen,McLaren,Mercedes,10,5,F,53,,53,5793
2014,2014-09-21,14,Singapore,4,Kevin Magnussen,McLaren,Mercedes,10,9,F,60,,60,5063
2014,2014-10-05,15,Suzuka,4,Kevin Magnussen,McLaren,Mercedes,14,7,F,43,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,4,Kevin Magnussen,McLaren,Mercedes,5,11,F,53,,53,5848
2014,2014-11-02,17,Austin,4,Kevin Magnussen,McLaren,Mercedes,8,7,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,4,Kevin Magnussen,McLaren,Mercedes,9,7,F,71,,71,4309
2014,2014-11-23,19,YasMarina,4,Kevin Magnussen,McLaren,Mercedes,11,9,F,55,,55,5554
2014,2014-03-16,1,Melbourne,5,Fernando Alonso,Ferrari,Ferrari,4,5,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,5,Fernando Alonso,Ferrari,Ferrari,4,4,F,56,,56,5543
2014,2014-04-06,3,Sakhir,5,Fernando Alonso,Ferrari,Ferrari,9,9,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,5,Fernando Alonso,Ferrari,Ferrari,3,5,F,54,,54,5451
2014,2014-05-11,5,Catalunya,5,Fernando Alonso,Ferrari,Ferrari,6,7,F,66,,66,4655
2014,2014-05-25,6,MonteCarlo,5,Fernando Alonso,Ferrari,Ferrari,4,5,F,78,,78,3337
2014,2014-06-08,7,Montreal,5,Fernando Alonso,Ferrari,Ferrari,6,7,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,5,Fernando Alonso,Ferrari,Ferrari,5,4,F,71,,71,4318
2014,2014-07-06,9,Silverstone,5,Fernando Alonso,Ferrari,Ferrari,6,16,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,5,Fernando Alonso,Ferrari,Ferrari,5,7,F,67,,67,4574
2014,2014-07-27,11,Budapest,5,Fernando Alonso,Ferrari,Ferrari,2,5,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,5,Fernando Alonso,Ferrari,Ferrari,7,4,F,44,,44,7004
2014,2014-09-07,13,Monza,5,Fernando Alonso,Ferrari,Ferrari,21,7,DNF,28,,53,5793
2014,2014-09-21,14,Singapore,5,Fernando Alonso,Ferrari,Ferrari,4,5,F,60,,60,5063
2014,2014-10-05,15,Suzuka,5,Fernando Alonso,Ferrari,Ferrari,22,5,DNF,2,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,5,Fernando Alonso,Ferrari,Ferrari,6,7,F,53,,53,5848
2014,2014-11-02,17,Austin,5,Fernando Alonso,Ferrari,Ferrari,6,6,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,5,Fernando Alonso,Ferrari,Ferrari,6,8,F,71,,71,4309
2014,2014-11-23,19,YasMarina,5,Fernando Alonso,Ferrari,Ferrari,9,8,F,55,,55,5554
2014,2014-03-16,1,Melbourne,6,Jean-Eric Vergne,ToroRosso,Renault,8,6,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,6,Jean-Eric Vergne,ToroRosso,Renault,19,9,DNF,18,,56,5543
2014,2014-04-06,3,Sakhir,6,Jean-Eric Vergne,ToroRosso,Renault,21,14,DNF,18,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,6,Jean-Eric Vergne,ToroRosso,Renault,12,9,F,53,,54,5451
2014,2014-05-11,5,Catalunya,6,Jean-Eric Vergne,ToroRosso,Renault,22,21,DNF,24,,66,4655
2014,2014-05-25,6,MonteCarlo,6,Jean-Eric Vergne,ToroRosso,Renault,17,7,DNF,50,,78,3337
2014,2014-06-08,7,Montreal,6,Jean-Eric Vergne,ToroRosso,Renault,8,8,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,6,Jean-Eric Vergne,ToroRosso,Renault,20,14,DNF,59,,71,4318
2014,2014-07-06,9,Silverstone,6,Jean-Eric Vergne,ToroRosso,Renault,10,10,F,51,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,6,Jean-Eric Vergne,ToroRosso,Renault,13,13,F,66,,67,4574
2014,2014-07-27,11,Budapest,6,Jean-Eric Vergne,ToroRosso,Renault,9,8,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,6,Jean-Eric Vergne,ToroRosso,Renault,11,12,F,44,,44,7004
2014,2014-09-07,13,Monza,6,Jean-Eric Vergne,ToroRosso,Renault,13,12,F,53,,53,5793
2014,2014-09-21,14,Singapore,6,Jean-Eric Vergne,ToroRosso,Renault,6,12,F,60,,60,5063
2014,2014-10-05,15,Suzuka,6,Jean-Eric Vergne,ToroRosso,Renault,9,20,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,6,Jean-Eric Vergne,ToroRosso,Renault,13,9,F,53,,53,5848
2014,2014-11-02,17,Austin,6,Jean-Eric Vergne,ToroRosso,Renault,10,14,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,6,Jean-Eric Vergne,ToroRosso,Renault,13,15,F,70,,71,4309
